rowid,sy_dist,sy_pnum,discoverymethod,disc_year
569,48.9102,1,Radial Velocity,2014
570,164.742,1,Radial Velocity,2011
571,59.5175,2,Radial Velocity,2002
572,59.5175,2,Radial Velocity,2005
573,67.8349,1,Radial Velocity,2010
574,55.8716,2,Radial Velocity,2013
575,55.8716,2,Radial Velocity,2013
576,55.4156,1,Radial Velocity,2021
577,63.0821,1,Radial Velocity,2005
578,116.506,1,Radial Velocity,2021
579,79.5561,2,Transit,2022
580,79.5561,2,Transit,2022
581,42.5279,1,Radial Velocity,2022
582,100.758,1,Radial Velocity,2009
583,32.1585,6,Transit,2023
584,32.1585,6,Transit,2023
585,32.1585,6,Transit,2023
586,32.1585,6,Transit,2023
587,32.1585,6,Transit,2023
588,32.1585,6,Transit,2023
589,105.096,1,Transit,2021
590,106.307,2,Transit,2021
591,106.307,2,Radial Velocity,2021
592,45.0858,1,Radial Velocity,2022
593,44.3804,1,Radial Velocity,2022
594,28.9571,2,Radial Velocity,2003
595,28.9571,2,Radial Velocity,2022
596,114.166,1,Radial Velocity,2017
597,33.2237,1,Radial Velocity,2016
598,62.07324,1,Radial Velocity,2023
599,101.166,1,Radial Velocity,2023
600,323.335,1,Radial Velocity,2020
601,36.18,2,Radial Velocity,2013
602,36.18,2,Radial Velocity,2020
603,155.121,2,Radial Velocity,2022
604,16.2817,2,Radial Velocity,2010
605,16.2817,2,Radial Velocity,2010
606,116.334,1,Radial Velocity,2017
607,95.3906,1,Radial Velocity,2022
608,27.9243,2,Radial Velocity,2003
609,27.9243,2,Radial Velocity,2026
610,37.8063,1,Radial Velocity,2002
611,21.0628,2,Radial Velocity,2001
612,21.0628,2,Radial Velocity,2018
613,38.9679,1,Radial Velocity,2022
614,51.261,3,Radial Velocity,2007
615,51.261,3,Radial Velocity,2008
616,51.261,3,Radial Velocity,2022
617,10.9816,2,Radial Velocity,2022
618,10.9816,2,Radial Velocity,2022
619,87.6437,1,Radial Velocity,2021
620,123.245,2,Radial Velocity,2011
621,123.245,2,Radial Velocity,2018
622,32.3547,1,Radial Velocity,2004
623,235.045,1,Radial Velocity,2015
624,37.7781,1,Radial Velocity,2004
625,92.2589,2,Radial Velocity,2005
626,92.2589,2,Radial Velocity,2024
627,33.5369,2,Radial Velocity,2005
628,33.5369,2,Radial Velocity,2008
629,67.9331,1,Radial Velocity,2005
630,103.044,1,Radial Velocity,2013
631,41.6592,1,Radial Velocity,2003
632,31.7627,2,Radial Velocity,2022
633,31.7627,2,Radial Velocity,2022
634,53.2528,1,Radial Velocity,2022
635,60.1977,1,Radial Velocity,2021
636,48.3367,1,Radial Velocity,2016
637,39.3466,1,Radial Velocity,2022
638,153.647,1,Radial Velocity,2019
640,57.6207,3,Radial Velocity,2007
641,57.6207,3,Radial Velocity,2009
642,57.6207,3,Radial Velocity,2009
643,182.192,1,Radial Velocity,2015
644,37.6506,1,Radial Velocity,2018
645,37.8478,2,Radial Velocity,2000
646,37.8478,2,Radial Velocity,2002
647,73.0961,1,Radial Velocity,2009
648,22.5279,1,Radial Velocity,2022
649,16.3292,2,Radial Velocity,2002
650,16.3292,2,Radial Velocity,2005
651,26.1548,1,Radial Velocity,2016
652,73.636,1,Astrometry,2025
653,67.4386,1,Radial Velocity,2009
654,31.8766,1,Radial Velocity,1999
655,131.849,1,Radial Velocity,2011
656,148.934,1,Radial Velocity,2018
657,497.823,1,Radial Velocity,2005
658,70.7832,1,Radial Velocity,2007
659,105.155,1,Radial Velocity,2011
660,51.4736,3,Radial Velocity,2016
661,51.4736,3,Radial Velocity,2016
662,51.2993,3,Radial Velocity,2016
663,24.0125,2,Radial Velocity,2019
664,24.0125,2,Radial Velocity,2019
665,26.7909,5,Radial Velocity,2024
666,26.7909,5,Radial Velocity,2024
667,26.7909,5,Radial Velocity,2024
668,26.7909,5,Radial Velocity,2024
669,26.7909,5,Radial Velocity,2024
670,26.1804,2,Radial Velocity,1999
671,26.1804,2,Radial Velocity,2009
672,141.595,1,Imaging,2025
673,56.518,1,Radial Velocity,2023
674,73.8713,1,Transit,2023
675,82.4251,1,Radial Velocity,2022
676,51.4359,1,Radial Velocity,2022
677,14.682,3,Radial Velocity,2019
678,14.682,3,Radial Velocity,2019
679,14.682,3,Radial Velocity,2019
680,105.168,1,Radial Velocity,2009
681,47.874,1,Radial Velocity,2021
682,43.465,1,Radial Velocity,2022
683,40.4841,1,Radial Velocity,2011
684,155.317,2,Transit,2021
685,155.317,2,Radial Velocity,2021
686,28.2305,2,Radial Velocity,2021
687,28.2305,2,Radial Velocity,2021
688,79.5515,2,Radial Velocity,2013
689,79.5515,2,Radial Velocity,2013
690,47.3963,1,Radial Velocity,2009
691,112.09,1,Radial Velocity,2008
692,79.5702,1,Transit,2018
693,142.024,1,Radial Velocity,2014
694,15.2528,2,Radial Velocity,2022
695,15.2528,2,Radial Velocity,2022
696,11.8148,1,Radial Velocity,2021
697,37.0169,4,Radial Velocity,2014
698,37.0169,4,Radial Velocity,2014
699,37.0169,4,Radial Velocity,2014
700,37.0169,4,Radial Velocity,2014
701,33.3622,1,Radial Velocity,2002
702,26.1853,3,Radial Velocity,2022
703,26.1853,3,Radial Velocity,2001
704,26.1853,3,Radial Velocity,2012
705,34.2802,1,Radial Velocity,2005
706,97.2305,1,Radial Velocity,2011
707,35.5318,1,Radial Velocity,2003
708,46.7789,1,Radial Velocity,2016
709,68.5146,1,Radial Velocity,2008
710,136.608,1,Imaging,2025
711,115.665,1,Radial Velocity,2022
712,53.4884,1,Radial Velocity,2008
713,135.292,1,Radial Velocity,2010
714,17.9323,2,Radial Velocity,2021
715,227.881,1,Radial Velocity,2015
716,23.4534,2,Radial Velocity,2010
717,23.4534,2,Radial Velocity,2015
718,40.4256,2,Radial Velocity,2009
719,40.4256,2,Radial Velocity,2009
720,10.7643,1,Radial Velocity,2017
721,12.9032,1,Radial Velocity,2003
722,119.137,1,Radial Velocity,2018
723,109.055,2,Radial Velocity,2016
724,109.055,2,Radial Velocity,2016
725,57.1289,1,Radial Velocity,2009
726,77.1971,2,Radial Velocity,2018
