rowid,hostname,st_teff,st_rad,st_mass,st_met,st_spectype,st_age,st_rotp
1160,HD 49674,5602.0,1.02,1.03,0.32,G5 V,3.62,
1161,HD 50499,6102.0,1.351,1.253,0.26,G1 V,2.391,25.0
1162,HD 50499,6099.0,1.42,1.31,0.38,G1 V,2.4,22.4
1163,HD 50554,5987.0,1.02,1.04,-0.04,F8 V,2.16,
1164,HD 51608,5358.0,0.916136,0.8,-0.07,G7 V,,40.0
1165,HD 51608,5358.0,0.916136,0.8,-0.07,G7 V,,40.0
1166,HD 52265,6136.0,1.32,1.204,0.21,G0V,3.5,
1167,HD 5278,6203.0,1.194,1.126,-0.12,F V,3.0,16.8
1168,HD 5278,6203.0,1.194,1.126,-0.12,F V,3.0,16.8
1169,HD 5319,4871.0,4.06,1.27,0.15,G5,3.1,
1170,HD 5319,4871.0,4.06,1.27,0.15,G5,3.1,
1171,HD 55696,6012.0,1.52,1.29,0.37,G0 V,2.64,
1172,HD 5583,4830.0,9.09,1.01,-0.5,,7.41,
1173,HD 5608,4807.0,5.43,1.29,0.04,K0 IV,1.72,
1174,HD 564,5902.0,1.01,0.961,-0.2,G2/G3 V,5.5,
1175,HD 56414,8500.0,1.751,1.89,0.0,,0.42,
1176,HD 56957,5743.0,1.77793,1.03,,,,
1177,HD 5891,4673.0,10.64,1.93,-0.37,G5,1.5,
1178,HD 59686 A,4658.0,13.2,1.9,0.15,K2 III,1.73,
1179,HD 60292,4348.0,27.0,1.7,-0.17,K0 III,1.8,400.0
1180,HD 60532,6245.0,2.57,1.5,-0.26,F6 IV,2.8,
1181,HD 60532,6245.0,2.57,1.5,-0.26,F6 IV,2.8,
1182,HD 6061,5934.0,1.0072,1.0269,-0.05,,2.4,
1183,HD 62364,6255.0,1.401,1.157,-0.11,F7 V,3.901,14.0
1184,HD 62364,6255.0,1.401,1.19,-0.11,F7 V,3.901,14.0
1185,HD 62509,4892.63,8.9,2.0,0.1027,K0IIIvar,0.98,
1186,HD 62549,5930.46,1.23227,1.08,,,,
1187,HD 63433,5553.0,0.934,0.956,-0.07,G5 V,0.414,6.4
1188,HD 63433,5553.0,0.934,0.956,-0.07,G5 V,0.414,6.4
1189,HD 63433,5688.0,0.912,0.99,0.03,G5 V,0.414,6.4
1190,HD 63454,4812.0,0.77,0.42,0.1,K4 V,1.0,
1191,HD 63765,5449.0,0.83,0.65,-0.16,G9 V,4.77,23.0
1192,HD 63935,5513.0,0.9598,0.9406,0.107,,6.6,
1193,HD 63935,5513.0,0.9598,0.9406,0.107,,6.6,
1194,HD 64114,5676.0,0.882858,0.95,,G7 V,,
1195,HD 64121,5078.0,5.44,1.64,-0.21,G8/K0 III,,
1196,HD 6434,5769.0,1.12,1.1,-0.55,G2/3 V,11.27,
1197,HD 65216,5612.0,0.88,0.874,-0.1685,G5 V,4.0,
1198,HD 65216,5612.0,0.88,0.874,-0.1685,G5 V,4.0,
1199,HD 66141,4323.0,21.4,1.1,-0.323,K2 III,6.84,
1200,HD 66428,5716.0,1.13,1.01,0.23,G8 IV (+ G),3.515,38.0
1201,HD 66428,5716.0,1.13,1.01,0.23,G8 IV (+ G),3.515,38.0
1202,HD 67087,6330.0,1.55,1.36,0.25,F8 V,1.45,
1203,HD 67087,6330.0,1.55,1.36,0.25,F8 V,1.45,
1204,HD 68402,5950.0,1.02,1.12,0.29,G5 IV/V,2.0,
1205,HD 68475,5022.0,0.79099,0.83,0.07,K2 VC,,
1206,HD 6860,3802.0,86.4,2.49,-0.03,M0 III,,7900.0
1207,HD 68988,5932.0,1.19,1.28,0.35,G2 V,6.0,
1208,HD 68988,5883.41,1.255733,1.171665,0.3052,G2 V,6.0,
1209,HD 69123,4842.0,7.72,1.68,0.05,K1 III,,
1210,HD 69830,5385.0,0.886947,0.86,-0.05,K0V,7.0,
1211,HD 69830,5385.0,0.886947,0.86,-0.05,K0V,7.0,
1212,HD 69830,5385.0,0.886947,0.86,-0.05,K0V,7.0,
1213,HD 70573,5737.0,0.976919,1.0,-0.18,G1-1.5 V,0.102,
1214,HD 70642,5732.0,0.984,1.078,0.22,G6 V,0.919,32.0
1216,HD 72490,4934.0,4.96,1.21,-0.13,G5,,
1217,HD 72659,5929.0,1.36,1.033,-0.02,G2 V,8.0,
1218,HD 72659,5929.0,1.36,1.033,-0.02,G2 V,8.0,
1219,HD 72892,5688.0,1.22,1.01,0.25,G5 V,8.0,
1220,HD 73256,5570.0,0.944723,1.0,0.29,G8 IV,2.2,13.97
1221,HD 73267,5387.0,0.909,0.93,0.03,K0 V,8.14,43.0
1222,HD 73267,5387.0,0.909,0.93,0.03,K0 V,8.14,43.0
1223,HD 73344,6252.6,1.22,1.2,0.143,F6 V,1.15,9.088
1224,HD 73344,6148.0,1.22,1.19,0.16,F6 V,1.15,9.03
1225,HD 73344,6148.0,1.22,1.19,0.16,F6 V,1.15,9.03
1226,HD 73526,5601.0,1.53,1.14,0.22,G6 V,9.2,
1227,HD 73526,5601.0,1.53,1.014,0.22,G6 V,9.2,
1228,HD 73534,4917.0,2.58,1.16,0.232,G5,7.04,
1229,HD 73583,4511.0,0.65,0.73,0.0,K4 V,0.48,12.2
1230,HD 73583,4511.0,0.65,0.73,0.0,K4 V,0.48,12.2
1231,HD 74156,6068.0,1.510576,1.1,0.131,G0,3.7,
1232,HD 74156,6068.0,1.510576,1.1,0.131,G0,3.7,
1233,HD 7449,6024.0,0.97,1.196,-0.105,F9.5 V,2.1,
1234,HD 74698,5783.0,1.333,1.039,0.07,G5 V,7.847,30.0
1235,HD 74698,5783.0,1.333,1.039,0.07,G5 V,7.847,30.0
1236,HD 75289,6117.0,1.23,1.29,0.26,G0,5.6,
1237,HD 75302,5697.46,0.940904,1.06,0.0857,G5 V,2.1,
1238,HD 75784,4867.0,3.4,1.26,0.25,G5,4.0,
1239,HD 75784,4867.0,3.4,1.26,0.25,G5,4.0,
1240,HD 75898,6122.0,1.55,1.295,0.29,F8 V,3.2,
1241,HD 75898,6122.0,1.55,1.295,0.29,F8 V,3.2,
1242,HD 76700,5644.0,1.37,0.99,0.31,G6 V,11.0,
1243,HD 76920,4664.0,8.33,1.0,-0.19,K1 III,5.2,
1244,HD 77338,5341.0,0.97,1.37,0.32,K0 IV,,
1245,HD 77946,6007.0,1.3174,1.1973,0.215,F5,3.1,13.56
1246,HD 79181,4862.0,11.06,1.28,-0.28,G8 III,,
1250,HD 79498,5748.0,1.05,1.08,0.18,G5,2.71,
1251,HD 80606,5565.0,1.05,1.05,0.35,G5,5.9,
1252,HD 80653,5959.0,1.22,1.18,0.255,G2,2.67,19.55
1253,HD 80869,5837.0,1.062,1.06,0.17,G5,,
1254,HD 80883,5177.91,0.814842,0.88,-0.2638,,,
1255,HD 80913,6013.24,1.6542,1.11,-0.68,,,
1256,HD 81040,5755.0,0.91,0.99,-0.04,G2/G3,1.79,15.98
1257,HD 81688,4797.0,11.13,1.07,-0.32,K0 III-IV,1.48,
1258,HD 81817,4140.0,83.8,4.3,-0.17,K3 III,0.15,
1259,HD 81817,4140.0,83.8,4.3,-0.17,K3 III,0.15,
1260,HD 82886,4953.0,5.26,2.53,-0.31,G0,7.0,
1261,HD 82943,5935.0,1.1826,1.08,0.26,G2/3V,2.35,
1262,HD 82943,5935.0,1.1826,1.08,0.26,G2/3V,2.35,
1263,HD 8326,4914.0,0.783181,0.8,0.0399,K2 V,,
1264,HD 83443,5442.0,0.94,1.0,0.34,K0 V,2.64,35.3
1265,HD 83443,5442.0,0.94,1.0,0.34,K0 V,2.64,35.3
1266,HD 8535,6136.0,1.19,1.13,0.06,G0 V,,
1267,HD 85390,5186.0,0.8,0.758,-0.07,K1.5 V,7.2,
1268,TOI-1774,5746.0,1.1303,0.991,-0.02,,7.4,25.0
1269,HD 8574,6064.0,1.38,1.34,0.01,F8,5.6,
1270,HD 86065,4927.56,0.780347,0.81,-0.0202,,,
1271,HD 86081,5939.0,1.46,1.21,0.22,F8,3.61,
1272,HD 86226,5863.0,1.053,1.019,0.018,G1 V,4.6,22.8
1273,HD 86226,5863.0,1.053,1.019,0.018,G1 V,4.6,22.8
1274,HD 86264,6210.0,1.88,1.26,0.202,F7 V,2.24,
1275,HD 86728,5610.0,1.237,0.967,0.2,G1V,9.52,
1276,HD 8673,6389.05,1.50225,1.28,0.1474,F5,,
1277,HD 86950,4805.0,8.8,1.66,0.04,K1 III,,
1278,HD 87646,5770.0,1.55,1.12,-0.17,G,,
1279,HD 87816,4989.0,9.0,2.41,0.14,K0 III,,
1280,HD 87816,4989.0,9.0,2.41,0.14,K0 III,,
1281,HD 87883,4980.0,0.798557,0.8,0.11,K0,7.6,
1282,HD 88072,5785.33,1.032,1.04,0.0426,,,
1283,HD 88133,5392.0,2.2,1.26,0.34,G5,5.37,
1284,HD 88986,5861.0,1.543,1.25,0.06,G2 V,7.9,25.0
1285,HD 89307,5955.0,1.1,1.27,-0.13,G0 V,2.31,
1286,HD 89345,5576.0,1.747,1.157,0.421,G5,7.53,
1287,HD 89744,6291.0,2.13257,1.86,0.2238,F7 V,1.88,
1288,HD 89839,6314.0,1.28588,1.21,0.04,F7 V,1.6,
1289,HD 90156,5599.0,0.920286,0.84,-0.24,G5V,4.4,
1290,HD 9174,5577.0,1.67,1.03,0.39,G8 IV,9.0,
1291,HD 92788,5744.0,1.14,1.15,0.27,G6 V,2.55,31.0
1292,HD 92788,5744.0,1.14,1.15,0.27,G6 V,2.55,31.0
1293,HD 93083,4995.0,0.850835,0.7,0.15,K3 V,7.71,
1294,HD 93351,5408.0,0.911435,0.94,-0.23,,,
1295,HD 93351,5408.0,0.911435,0.94,-0.23,,,
1296,HD 93385,5977.0,1.18484,1.04,0.02,G2/G3 V,3.3,
1297,HD 93385,5977.0,1.18484,1.04,0.02,G2/G3 V,3.3,
1298,HD 93385,5977.0,1.18484,1.04,0.02,G2/G3 V,3.3,
1299,HD 93963 A,5908.0,1.0311,1.0844,0.11,G0 V,1.3,12.8
1300,HD 93963 A,5908.0,1.0311,1.0844,0.11,G0 V,1.3,12.8
1301,HD 9446,5793.0,1.0,1.0,0.09,G5 V,,
1302,HD 9446,5793.0,1.0,1.0,0.09,G5 V,,
1303,HD 94771,5631.0,1.903,1.2,0.22,G3/G5 V,5.733,49.0
1304,HD 94834,4798.0,4.2,1.11,0.12,K0,,
1305,HD 94890,4867.0,10.71,1.74,-0.02,K0 III,,
1306,HD 94890,4867.0,10.71,1.74,-0.02,K0 III,,
1307,HD 95086,7595.0,1.48667,1.6,0.14,A8 III,0.017,
1308,HD 95089,4918.0,5.08,1.54,0.05,G8/K0 IV,2.5,
1309,HD 95089,4918.0,5.08,1.54,0.05,G8/K0 IV,2.5,
1310,HD 95127,4218.0,41.01,3.7,-0.18,K0,5.5,
1311,HD 95338,5097.0,0.868,0.848,0.08,K0.5 V,9.5,
1312,HD 95544,5722.0,1.088,1.01,0.11,G0,,
1313,GJ 411,3719.0,0.3685,0.3899,-0.3621,M1.5 V,8.047,56.16
1314,HD 95872,5312.0,0.84,0.7,0.41,K0 V,10.0,
1315,HD 96063,5020.0,4.75,1.37,-0.3,G6 V,9.0,
1316,HD 96127,3943.0,51.1,10.94,-0.24,K2 III,4.067,
1317,HD 96167,5733.0,1.94,1.27,0.34,G5,4.85,
1318,HD 96700,5845.0,1.16,0.89,-0.18,G0 V,8.6,
1319,HD 96700,5845.0,1.16,0.89,-0.18,G0 V,8.6,
1320,HD 96700,5845.0,1.16,0.89,-0.18,G0 V,8.6,
1321,HD 96992,4725.0,7.43,0.96,-0.45,K0,,198.0
1322,HD 97037,5874.1,1.26356,1.06,-0.0773,,,
1323,HD 97048,10000.0,2.25,2.4,,Be9.5/AO,0.003,
1324,HD 97658,5212.0,0.728,0.85,-0.23,K1 V,3.9,
1325,HD 98219,4925.0,4.6,1.41,-0.02,K0 III/IV,4.0,
1326,HD 98649,5759.0,1.01,0.97,-0.06,G3/G5 V,4.44,26.441
1327,HD 98736,5271.0,0.93,0.92,0.36,G5,7.39,
1328,HD 99109,5282.0,0.98,0.76,0.35,G8/K0 IV,1.0,
1329,HD 99283,4886.0,11.21,1.76,-0.16,K0 III,,
1330,HD 99492,4929.0,0.822539,0.85,0.3,K2 V,4.8,
1331,HD 99492,4929.0,0.822539,0.85,0.3,K2 V,4.8,
1332,HD 99706,4862.0,5.52,1.46,0.14,K0,2.1,
1333,HD 99706,4891.0,5.4,1.72,0.14,K0,2.1,
1334,HIP 105854,4780.0,10.305119,2.1,0.31,K2 III,,
1335,HIP 107772,4006.0,0.513922,0.63,,M0 V,,
1336,HIP 107773,4945.0,11.6,2.42,0.03,K1 III,,
1337,HIP 109384,5180.0,0.831075,0.78,-0.26,G5,,
1338,HIP 109600,5530.0,0.971958,0.87,-0.12,G5,,
1339,HIP 111909,4891.0,4.53,1.28,-0.01,K1 III,4.3,
1340,HIP 111909,4891.0,4.53,1.28,-0.01,K1 III,4.3,
1341,HIP 113103,4930.0,0.742,0.761,-0.1,,0.47,9.92
1342,HIP 113103,4930.0,0.742,0.761,-0.1,,0.47,9.92
1343,HIP 114933,4823.0,5.27,1.39,0.06,K0 III,3.4,
1344,HIP 116454,5048.0,0.758,0.8,0.0,K1,5.5,
1345,HIP 12961,3901.0,0.65,0.69,-0.14,M0,,
1346,HIP 14810,5544.0,1.07,1.01,0.24,G5,5.84,
1347,HIP 14810,5544.0,1.07,1.01,0.24,G5,5.84,
1348,HIP 14810,5544.0,1.07,1.01,0.24,G5,5.84,
1349,HIP 18606,4860.0,4.83,1.21,-0.01,K0/1 III,5.29,
1350,HIP 19976,4316.0,0.772319,0.67,,,,
1351,HIP 21152,6655.0,1.59186,1.4,0.13,F5 V,0.65,
1352,TOI-469,5289.0,0.98,0.901,0.24,,11.2,40.0
1353,TOI-469,5289.0,0.98,0.901,0.24,,11.2,40.0
1354,HIP 34222,4050.0,0.6186,0.62,,K7 V,,
1355,HIP 35173,4881.0,0.773404,0.79,,K2 V,,
1356,HIP 35965,4836.0,0.697551,0.78,,,,
1357,HIP 38594,4086.3,0.626646,0.61,,M0,,
1358,HIP 38594,4086.3,0.626646,0.61,,M0,,
1359,HIP 39017,7201.0,1.51987,1.52,-0.26,A9/F0,0.115,
1360,HIP 41378,6320.0,1.273,1.16,-0.1,F6,4.279,
1361,HIP 41378,6320.0,1.273,1.16,-0.1,F6,4.279,
1362,HIP 41378,6320.0,1.273,1.16,-0.1,F6,4.279,
1363,HIP 41378,6320.0,1.273,1.16,-0.1,F6,4.279,
1364,HIP 41378,6320.0,1.273,1.16,-0.1,F6,4.279,
1365,HIP 41378,6320.0,1.273,1.16,-0.1,F6,4.279,
1366,HIP 4845,4010.0,0.603999,0.62,,K7V,,
1367,HIP 48714,4015.5,0.595456,0.58,,M0.5 Ve,,
1368,HIP 5158,4962.0,0.75,0.78,0.1,,6.0,
1369,HIP 5158,4813.0,0.754089,0.78,0.17,,6.0,
1370,HIP 54373,4021.0,0.564998,0.57,,K5 V,,
1371,HIP 54373,4021.0,0.564998,0.57,,K5 V,,
1372,HIP 54515,8100.0,1.64915,1.9,,A5 V,0.115,
1373,HIP 54597,4799.0,0.66,0.8,-0.22,K5 V,4.3,45.0
1374,HIP 55507,4171.0,0.723643,0.65,,M0,,
1375,HIP 56640,4769.0,4.93,1.75,-0.03,K1 III,9.15,
1377,HIP 57274,4640.0,0.68,0.73,0.09,K4 V,7.87,
1378,HIP 57274,4640.0,0.68,0.73,0.09,K4 V,7.87,
1379,HIP 5763,4352.0,0.750378,0.72,,K6 V,,
1380,HIP 63242,4830.0,10.275655,1.54,-0.31,G8,,
1381,HIP 65 A,4590.0,0.7242,0.781,0.18,K4 V,4.1,13.2
1382,HIP 65407,5460.0,0.952252,0.93,0.25,K0,,
1383,HIP 65407,5460.0,0.952252,0.93,0.25,K0,,
1384,HIP 65426,8840.0,1.77,1.96,,A2 V,0.014,
1385,HIP 65891,5000.0,8.93,2.49,0.16,K0 III,,
1386,HIP 66074,4300.0,0.69,0.705,0.12,,7.9,
1387,HIP 67522,5675.0,1.38,1.22,0.0,G1 V,0.017,1.418
1388,HIP 67522,5675.0,1.38,1.22,0.0,G1 V,0.017,1.418
1389,HIP 67537,4985.0,8.69,2.316,0.15,K1 III,,
1390,HIP 67851,4840.0,5.45,1.28,0.01,K0 III,5.46,
1391,HIP 67851,4840.0,5.45,1.28,0.01,K0 III,5.46,
1392,HIP 70849,4105.0,0.633112,0.65,,K7 V,3.0,
1393,HIP 71135,4146.0,0.681296,0.66,,M1,,
1394,HIP 74890,4850.0,5.77,1.74,0.2,K1 III,4.41,
1395,HIP 75092,4891.0,4.53,1.28,-0.01,K0 III,4.3,
1396,HIP 77900,13646.0,,,,,,
1397,HIP 78530,10500.0,2.10876,2.5,-0.5,B9 V,0.005,
1398,HIP 79098 AB,9193.75,,3.75,,B9 V,0.01,
1399,HIP 79431,3191.0,0.478625,0.49,0.4,M3 V,,
1400,HIP 81208 C,,,0.135,,M,0.017,
1401,HIP 8152,5618.0,0.9603,0.9373,0.007,,6.0,
1402,HIP 8152,5618.0,0.9603,0.9373,0.007,,6.0,
1403,HIP 8541,4672.0,6.84,2.009,-0.19,K2 III/IV,10.97,
1404,HIP 86221,,,0.79,,K5 V,,
1405,HIP 90988,4883.0,3.94,1.613,0.17,K1 III,4.55,
1406,HIP 91258,5519.0,0.89,0.97,0.23,G5 V,2.4,
1407,HIP 94235,5991.0,1.08,1.094,0.0,G V,0.118,2.24
1408,HIP 948,4497.0,0.688488,0.71,,,,
1409,HIP 9618,5649.0,0.9593,0.942,-0.018,,5.6,
1410,HIP 9618,5649.0,0.9593,0.942,-0.018,,5.6,
1411,HIP 97166,5216.0,0.8418,0.9342,0.248,K0 V,1.2,
1412,HIP 97166,5216.0,0.8418,0.9342,0.248,K0 V,1.2,
1413,HIP 97233,5020.0,5.34,1.81,0.29,K0/1 III,,
1414,HIP 99770,8000.0,1.93986,1.85,,A5-A6,0.264,
1415,HN Lib,3347.0,0.299,0.291,-0.18,M4.0 V,4.4,96.0
1416,HN Peg,6186.0,1.006954,1.08,-0.036,G0 V,0.3,4.5
1417,HR 2562,6597.0,1.334,1.368,0.1,F5 V,0.5,
1418,HR 5183,5794.0,1.53,1.07,0.1,G0 V,7.7,
1419,HR 810,6167.0,1.13,1.34,0.16,G0V,2.72,7.9
1420,HR 858,6354.0,1.258,1.204,0.025,F6 V,2.0,6.7
1421,HR 858,6354.0,1.258,1.204,0.025,F6 V,2.0,6.7
1422,HR 858,6354.0,1.258,1.204,0.025,F6 V,2.0,6.7
1423,HR 8799,7204.58,1.49338,1.5,-0.47,A5 V,0.06,
1424,HR 8799,7204.58,1.49338,1.5,-0.47,A5 V,0.06,
1425,HR 8799,7204.58,1.49338,1.5,-0.47,A5 V,0.06,
1426,HR 8799,7400.0,1.49338,1.51,-0.5,A5,0.03,
1427,HS Psc,4203.0,0.65,0.69,-0.05,K7 V,0.133,1.086
1428,HU Aqr,5952.0,,0.88,,,,
1429,HU Aqr,5952.0,,0.88,,,,
1430,IC 4651 9122,4740.1,10.267424,2.1,0.12,,1.14,
1431,IRAS 04125+2902,4080.0,1.45,0.7,,,0.0033,11.31
1432,ITG 15 A,,,,,,,
1433,K2-10,5533.0,0.956,0.88,-0.07,F9,,
1434,K2-100,5945.0,1.24,1.15,0.22,G0 V,0.75,4.3
1435,K2-101,4927.0,0.76,0.82,0.07,K3,0.79,10.6
1436,K2-102,4695.0,0.71,0.77,0.14,K5,0.79,11.5
1437,K2-104,3712.0,0.48,0.51,0.18,M2.5e,0.79,9.3
1438,K2-105,5373.0,0.905,0.94,0.22,K1,0.6,
1439,K2-107,6061.0,1.81,1.3,0.14,F9 IV,4.25,
1440,K2-108,5599.0,1.76,1.17,0.36,,7.8,
1441,K2-11,5433.0,5.15,1.35,-0.12,G8,,
1442,K2-110,5010.0,0.713,0.738,-0.34,K3 V,8.0,
1443,K2-111,5775.0,1.25,0.84,-0.46,G2,13.5,29.2
1444,K2-111,5775.0,1.25,0.84,-0.46,G2,13.5,29.2
1445,K2-113,5660.0,1.24,1.04,0.27,G,5.9,
1446,K2-114,4899.0,0.832,0.863,0.42,,7.6,
1447,K2-115,5870.0,0.855,0.918,-0.198,G4,2.2,
1448,K2-116,4348.35,0.6694,0.694512,0.01,,,
1449,K2-117,3778.0,0.51,0.54,-0.05,M1.0 V,,
1450,K2-117,3778.0,0.51,0.54,-0.05,M1.0 V,,
1451,K2-118,4726.29,0.734626,0.756446,0.129,,,
1452,K2-119,4740.0,0.71,0.76,-0.05,,,
1453,K2-12,5672.0,1.117,0.965,0.0,F9,8.9,
1454,K2-121,4526.0,0.675,0.71,0.04,,,
1455,K2-122,4009.0,0.59,0.63,0.32,M0,,
1456,K2-123,4035.0,0.59,0.62,0.03,,,
1457,K2-124,3570.0,0.388,0.39,0.023,,,
1458,K2-125,3654.47,0.402049,0.494727,,,,
1459,K2-126,4339.0,0.65,0.69,0.02,,,
1460,K2-127,4575.0,0.66,0.72,-0.11,,,
1461,K2-128,4469.51,0.777569,0.711248,-0.26,,,
1462,K2-129,3459.09,0.36001,0.360031,,,,
1463,K2-13,5698.0,0.78,0.8,-0.54,G3,,
1464,K2-130,4356.47,0.744261,0.69563,-0.24,,,
1465,K2-131,5120.0,0.7595,0.803,-0.04,,5.3,9.194
1466,K2-132,4840.0,3.85,1.08,-0.01,,8.5,
1467,K2-133,3655.0,0.455,0.461,,M1.5 V,,
1468,K2-133,3655.0,0.455,0.461,,M1.5 V,,
1469,K2-133,3655.0,0.455,0.461,,M1.5 V,,
1470,K2-133,3655.0,0.455,0.461,,M1.5 V,,
1471,K2-136,4500.0,0.677,0.742,-0.02,K5.5,0.65,15.0
1472,K2-136,4500.0,0.677,0.742,-0.02,K5 V,0.65,15.0
1473,K2-136,4500.0,0.677,0.742,-0.02,K5.5,0.65,15.0
1474,K2-137,3697.0,0.29,0.463,-0.059,M3 V,,
1475,K2-138,5356.3,0.863,0.935,0.14,G8 V,2.8,
1476,K2-138,5356.3,0.863,0.935,0.14,G8 V,2.8,
1477,K2-138,5356.3,0.863,0.935,0.14,G8 V,2.8,
1478,K2-138,5356.3,0.863,0.935,0.14,G8 V,2.8,
1479,K2-138,5356.3,0.863,0.935,0.14,G8 V,2.8,
1480,K2-138,5356.3,0.863,0.935,0.14,G8 V,2.8,
1481,K2-139,5370.0,0.88,0.96,0.24,K0 V,1.8,17.24
1482,K2-14,3789.0,0.45,0.47,-0.37,M0,,
1483,K2-140,5585.0,1.06,0.96,0.1,G6 V,9.8,14.6
1484,K2-141,4570.0,0.681,0.708,0.0,K7 V,6.3,15.17
1485,K2-141,4570.0,0.681,0.708,0.0,K7 V,6.3,15.17
1486,K2-146,3385.0,0.33,0.331,-0.02,M3.0 V,5.0,
1487,K2-146,3385.0,0.33,0.331,-0.02,M3.0 V,5.0,
1488,K2-147,3690.0,0.578,0.563,-0.02,,,
1489,K2-148,4079.0,0.632,0.65,-0.11,,,
1490,K2-148,4079.0,0.632,0.65,-0.11,,,
1491,K2-148,4079.0,0.632,0.65,-0.11,,,
1492,K2-149,3745.0,0.568,0.595,0.11,M1.0 V,,
1493,K2-15,5131.0,0.68,0.72,-0.46,G8,,
1494,K2-150,3499.0,0.436,0.457,0.09,M2.5 V,,
1495,K2-151,3695.0,0.45,0.47,-0.19,M1.5 V,,
1496,K2-152,4044.0,0.61,0.63,0.12,M0.0 V,,
1497,K2-153,3845.0,0.53,0.55,-0.09,M3.0 V,,
1498,K2-154,4097.0,0.63,0.65,0.21,M0.0 V,,
1499,K2-154,4097.0,0.63,0.65,0.21,M0.0 V,,
1500,K2-155,4258.0,0.58,0.65,-0.3,K7,,34.8
1501,K2-155,4258.0,0.58,0.65,-0.3,K7,,34.8
1502,K2-155,4258.0,0.58,0.65,-0.3,K7,,34.8
1503,K2-156,4460.0,0.62,0.66,-0.33,,,
1504,K2-157,5334.0,0.86,0.89,0.02,G9 V,8.8,
1505,K2-157,5334.0,0.86,0.89,0.02,G9 V,8.8,
1506,K2-157,5334.0,0.86,0.89,0.02,G9 V,8.8,
1507,K2-158,5503.0,0.95,0.92,0.07,,,
1508,K2-158,5503.0,0.95,0.92,0.07,,,
1509,K2-159,5425.0,0.83,0.9,-0.07,,,
1510,K2-16,4742.0,0.66,0.68,-0.33,K3 V,,
1511,K2-16,4742.0,0.66,0.68,-0.33,K3 V,,
1512,K2-160,5649.0,0.913754,0.982829,0.07,,,
1513,K2-161,4972.0,2.568173,0.986876,-0.03,,,
1514,K2-162,4842.0,0.69,0.75,-0.17,,,
1515,K2-163,4937.0,0.762201,0.826112,0.14,,,
1516,K2-164,5791.0,2.196069,1.180894,-0.23,,,
1517,K2-165,5185.0,0.803827,0.834847,-0.05,,,
1518,K2-165,5185.0,0.803827,0.834847,-0.05,,,
1519,K2-165,5185.0,0.803827,0.834847,-0.05,,,
1520,K2-166,5960.0,1.61,1.16,0.09,,,
1521,K2-167,6310.0,1.499,1.084,-0.456,F7 V,5.3,
1522,K2-168,5502.7,0.83,0.877,-0.13,,,
1523,K2-169,5548.0,0.919053,0.986144,0.26,,,
1524,K2-17,4320.0,0.66,0.71,0.15,K7,,
1525,K2-170,5748.0,0.981614,0.963657,-0.11,,,
1526,K2-170,5748.0,0.981614,0.963657,-0.11,,,
1527,K2-171,5250.0,1.717458,0.891587,-0.09,,,
1528,K2-172,5569.0,0.868889,0.934356,-0.06,,,
1529,K2-172,5569.0,0.868889,0.934356,-0.06,,,
1530,K2-173,5580.0,0.843154,0.881538,-0.25,,,
1531,K2-174,4455.0,0.676,0.7,0.113,,,
1532,K2-175,5909.0,1.420038,1.094693,0.05,,,
1533,K2-176,5428.0,0.86416,0.938545,0.15,,,
1534,K2-177,6063.0,1.213565,1.210525,0.41,,,
1535,K2-178,5525.0,0.887267,0.95109,0.09,,,
1536,K2-179,5015.0,0.768067,0.824345,0.03,,,
1537,K2-18,3457.0,0.411,0.359,0.12,M2.5 V,,39.63
1538,K2-18,3457.0,0.411,0.359,0.09,M2.5 V,,38.6
1539,K2-180,5365.0,0.719,0.735,-0.578,K2 V,7.5,15.7
1540,K2-181,5528.0,1.06,0.96,0.18,,5.9,
1541,K2-182,5128.0,0.789,0.823,0.022,,6.2,
1542,K2-183,5482.0,0.87,0.942219,0.09,,,
1543,K2-183,5482.0,0.87,0.942219,0.09,,,
1544,K2-183,5482.0,0.87,0.942219,0.09,,,
1545,K2-184,5245.0,0.75,0.84,-0.1,,,
1546,K2-185,5788.0,0.94,0.96,-0.1,,,17.35
1547,K2-185,5788.0,0.94,0.96,-0.1,,,17.35
1548,K2-186,5784.0,0.98083,1.018617,0.06,,,
1549,K2-187,5438.0,0.83,0.966999,0.0,,,
1550,K2-187,5438.0,0.83,0.966999,0.0,,,
1551,K2-187,5438.0,0.83,0.966999,0.0,,,
1552,K2-187,5438.0,0.83,0.966999,0.0,,,
1553,K2-188,5977.0,1.19,1.06,-0.01,,,
1554,K2-188,5977.0,1.19,1.06,-0.01,,,
1555,K2-189,5442.0,0.879,0.85,-0.1,,,
1556,K2-189,5442.0,0.879,0.85,-0.1,,,
1557,K2-19,5350.0,0.824,0.892,0.03,G9,1.7,18.36
1558,K2-19,5350.0,0.824,0.892,0.03,G9,1.7,18.36
1559,K2-19,5350.0,0.824,0.892,0.03,G9,1.7,18.36
1560,K2-190,5631.0,0.912206,0.904597,-0.19,,,
1561,K2-190,5631.0,0.912206,0.904597,-0.19,,,
1562,K2-191,5176.0,0.839696,0.900994,0.31,,,
1563,K2-192,5222.0,0.81,0.9,0.15,,,
1564,K2-193,5817.0,0.98,1.01,0.0,,,
1565,K2-194,5979.0,1.281115,1.110086,0.1,,,
1566,K2-195,5713.0,0.99,0.94,-0.1,,,
